"","year","iteration","area","TAC","initial_F_guess","final_F","converged","nr_iterations","nr_error","predicted_catch","target_catch"
"1",12,1,1,222639.133141664,0.0228198245456916,0.0240270434528455,TRUE,6,4.83827461209382e-05,222649.90503432,222639.133141664
"2",12,1,2,3373.32019911612,0.0338238295258402,0.0358198409964247,TRUE,6,5.32629059216967e-05,3373.49987195253,3373.32019911612
"3",13,1,1,195163.33020706,0.0197858070853511,0.0207995085829845,TRUE,6,4.70243361704319e-05,195172.507633107,195163.33020706
"4",13,1,2,3459.29145883607,0.0347280027000974,0.0367949537624701,TRUE,6,5.36606525959175e-05,3459.47708667327,3459.29145883607
"5",14,1,1,192410.579351938,0.0192515579121774,0.0202322459978832,TRUE,6,4.67845926149938e-05,192419.581202508,192410.579351938
"6",14,1,2,4225.82730612101,0.0425382662487065,0.0452572578475701,TRUE,6,5.70747852995685e-05,4226.06849430722,4225.82730612101
"7",15,1,1,190616.828707409,0.0188312910935763,0.0197862321288138,TRUE,6,4.65958845371853e-05,190625.71066715,190616.828707409
"8",15,1,2,5153.05990370228,0.0524508234236623,0.0561000599312652,TRUE,6,6.1349927383786e-05,5153.37604355318,5153.05990370228
"9",16,1,1,193815.71746367,0.0189161202658581,0.0198762424787592,TRUE,6,4.6633984405765e-05,193824.755862816,193815.71746367
"10",16,1,2,6464.44231992632,0.0672030381657765,0.0724544195789052,TRUE,6,6.75845565990602e-05,6464.87921639418,6464.44231992632
"11",12,2,1,137157.795467455,0.0137155016433263,0.0143727030749025,TRUE,6,4.42908144157883e-05,137163.87029792,137157.795467455
"12",12,2,2,2078.14841617357,0.0203328703364396,0.0213806930968639,TRUE,6,4.72691369374763e-05,2078.24664845563,2078.14841617357
"13",13,2,1,132640.23664574,0.0130172830285443,0.0136360848121827,TRUE,6,4.39750882331486e-05,132646.069511849,132640.23664574
"14",13,2,2,2259.34725943721,0.0218552836298454,0.0229998523152613,TRUE,6,4.79509157190952e-05,2259.45559720723,2259.34725943721
"15",14,2,1,110214.17827041,0.0106220817345441,0.0111132148833563,TRUE,6,4.28899847652907e-05,110218.905354837,110214.17827041
"16",14,2,2,2305.65717619474,0.0221101910289041,0.0232712114788796,TRUE,6,4.80649427792479e-05,2305.76799747498,2305.65717619474
"17",15,2,1,99801.9566173013,0.00943568111223052,0.00986589807993157,TRUE,6,4.23513617874115e-05,99806.1833660731,99801.9566173013
"18",15,2,2,2630.19347436595,0.0250326816705703,0.0263875191996873,TRUE,6,4.93695009065331e-05,2630.32332570507,2630.19347436595
"19",16,2,1,92923.085276678,0.00862030679803109,0.00900954696281501,TRUE,6,4.19807482691522e-05,92926.9862573294,92923.085276678
"20",16,2,2,2912.00913572132,0.0276091120702975,0.0291427822668519,TRUE,6,5.0515399480612e-05,2912.15623702611,2912.00913572132
"21",12,3,1,168082.168020519,0.0171070932802457,0.0179584544538909,TRUE,6,4.58206273139327e-05,168089.869650898,168082.168020519
"22",12,3,2,2546.69951546241,0.0253545447960229,0.0267313131309749,TRUE,6,4.95128342730646e-05,2546.82560977346,2546.69951546241
"23",13,3,1,138096.372471421,0.0138128992639114,0.014475499775691,TRUE,6,4.43348348571261e-05,138102.494951289,138096.372471421
"24",13,3,2,2349.416554569,0.0231987155834802,0.0244308063228201,TRUE,6,4.8551403553831e-05,2349.53062204026,2349.416554569
"25",14,3,1,118108.315357894,0.0115863769512456,0.0121281539427507,TRUE,6,4.33272141504041e-05,118113.432662166,118108.315357894
"26",14,3,2,2410.4020275802,0.0235777186766156,0.0248348665366202,TRUE,6,4.87206309681796e-05,2410.51946388787,2410.4020275802
"27",15,3,1,95944.1246486441,0.00922378240596379,0.00964328076842894,TRUE,6,4.22550794399587e-05,95948.1787752529,95944.1246486441
"28",15,3,2,2490.80670480085,0.024167561859999,0.0254640265117798,TRUE,6,4.89838284267674e-05,2490.92871404912,2490.80670480085
"29",16,3,1,89155.4063269125,0.00839260113108423,0.00877052703872534,TRUE,6,4.18771842791356e-05,89159.1399042927,89155.4063269125
"30",16,3,2,2776.59745978505,0.0267591359523511,0.0282329800863516,TRUE,6,5.0137782941734e-05,2776.7366722258,2776.59745978505
"31",12,4,1,188989.920461791,0.0188546733329943,0.019811041604773,TRUE,6,4.66063823702139e-05,188998.728598288,188989.920461791
"32",12,4,2,2863.48364336047,0.0279480601444381,0.0295058139423554,TRUE,6,5.06658262331971e-05,2863.62872412517,2863.48364336047
"33",13,4,1,179081.193974375,0.0176068548746749,0.0184878998391257,TRUE,6,4.60455112139877e-05,179089.4398595,179081.193974375
"34",13,4,2,3183.71153466001,0.0309325122012098,0.0327079549999608,TRUE,6,5.19875974375333e-05,3183.87704817363,3183.71153466001
"35",14,4,1,150531.35604262,0.0145832881778628,0.0152889615556772,TRUE,6,4.46828479878263e-05,150538.08221232,150531.35604262
"36",14,4,2,3225.50895939674,0.0313207179146053,0.0331252209729929,TRUE,6,5.21591275866996e-05,3225.67719913008,3225.50895939674
"37",15,4,1,136754.639463196,0.0130300126249145,0.0136495097261021,TRUE,6,4.39808481791683e-05,136760.654048232,136754.639463196
"38",15,4,2,3585.4621857255,0.0348261302145251,0.0369008370078837,TRUE,6,5.37037976565002e-05,3585.65473866123,3585.4621857255
"39",16,4,1,105674.333419089,0.00989980247103835,0.0103536672007764,TRUE,6,4.25621617257122e-05,105678.831147158,105674.333419089
"40",16,4,2,3393.81461711423,0.0331017132682103,0.0350417416227366,TRUE,6,5.29448738304929e-05,3393.99430220094,3393.81461711423
"41",12,5,1,164939.196919101,0.0176600306311628,0.0185442501578925,TRUE,6,4.60694246966549e-05,164946.795573013,164939.196919101
"42",12,5,2,2499.07874119851,0.0261680257309145,0.0276007443412512,TRUE,6,4.98748923855127e-05,2499.20338248179,2499.07874119851
"43",13,5,1,104502.380079381,0.0109821207031868,0.0114920438411437,TRUE,6,4.30532875271119e-05,104506.879250398,104502.380079381
"44",13,5,2,1812.18556235805,0.0188015901744743,0.0197547072907816,TRUE,6,4.65820320265353e-05,1812.26997764396,1812.18556235805
"45",14,5,1,90957.8054026504,0.0093313337479001,0.00975626630334185,TRUE,6,4.23039483683288e-05,90961.6532769539,90957.8054026504
"46",14,5,2,1847.16218791851,0.0188648063714409,0.0198217818263612,TRUE,6,4.66104313297973e-05,1847.24828494482,1847.16218791851
"47",15,5,1,78692.316076733,0.00788129585668855,0.00823402124376672,TRUE,6,4.16445355677128e-05,78695.5931816888,78692.316076733
"48",15,5,2,2065.07064028152,0.0207865881137345,0.0218629729397486,TRUE,6,4.74724533834882e-05,2065.16867425122,2065.07064028152
"49",16,5,1,67477.6556859924,0.00659947310021221,0.0068902685634801,TRUE,6,4.10606946440949e-05,67480.4263654079,67477.6556859924
"50",16,5,2,2126.09977432032,0.0211570325407511,0.0222569077499947,TRUE,6,4.76383779985331e-05,2126.20105826504,2126.09977432032
"51",12,6,1,167863.248529644,0.0188802987412551,0.0198382317047393,TRUE,6,4.66178798695635e-05,167871.073958398,167863.248529644
"52",12,6,2,2543.38255347945,0.0279611081517382,0.029519789208467,TRUE,6,5.06715455383549e-05,2543.51143060433,2543.38255347945
"53",13,6,1,126949.152971407,0.0139698772406823,0.0146412014146444,TRUE,6,4.44057667794515e-05,126954.790245887,126949.152971407
"54",13,6,2,2192.15143025247,0.0238194718062874,0.0250926851280291,TRUE,6,4.88284718011106e-05,2192.25846965677,2192.15143025247
"55",14,6,1,115328.715102684,0.012375355483469,0.0129593252104289,TRUE,6,4.3684573404967e-05,115333.753188404,115328.715102684
"56",14,6,2,2402.12840781328,0.0257205861941024,0.0271224371782015,TRUE,6,4.96757663393465e-05,2402.24773538279,2402.12840781328
"57",15,6,1,105294.735345828,0.0110204318884432,0.0115323627823688,TRUE,6,4.30706608786264e-05,105299.270459666,105294.735345828
"58",15,6,2,2795.89923646287,0.0295956414528816,0.0312723192209301,TRUE,6,5.13961353231224e-05,2796.04293487838,2795.89923646287
"59",16,6,1,98147.3435237395,0.0100246393102305,0.0104849047019367,TRUE,6,4.26188381856102e-05,98151.5264494915,98147.3435237395
"60",16,6,2,3117.76795499682,0.0327897787520193,0.0347058067204989,TRUE,6,5.28073495235648e-05,3117.93259605895,3117.76795499682
